Year/Month,BE
2021/01,0.0122792103523188
2021/02,0.0044164630708514
2021/03,9.308386856554662e-05
2021/04,-0.0038924930491195
2021/05,-0.0039855408286217
2021/06,0.0013036595586182
2021/07,0.0038942976356051
2021/08,0.0074287306156559
2021/09,0.0039066133382941
2021/10,0.0046283439785244
2021/11,0.0070796460176991
2021/12,0.0109239029809296
2022/01,0.0167957450779134
2022/02,0.0271306951071195
2022/03,0.0311801935964259
2022/04,0.0461481205805731
2022/05,0.0647682858738136
2022/06,0.0841625592857806
2022/07,0.0959637942181583
2022/08,0.1011153101668356
2022/09,0.1065505420179746
2022/10,0.1227310421081728
2022/11,0.1382850800110997
2022/12,0.1336080586080585
2023/01,0.1572909975222538
2023/02,0.1613079515438564
2023/03,0.1680657099016156
2023/04,0.1402525791533262
2023/05,0.1267260968362173
2023/06,0.112283410533539
