Year/Month,DE
2021/01,0.0180342651036971
2021/02,0.0252479711451758
2021/03,0.0234023402340235
2021/04,0.0232974910394265
2021/05,0.015017667844523
2021/06,0.0247787610619469
2021/07,0.0506329113924051
2021/08,0.0504959422903517
2021/09,0.0560578661844484
2021/10,0.0597826086956521
2021/11,0.0642533936651583
2021/12,0.0678733031674208
2022/01,0.0584588131089458
2022/02,0.0624450307827615
2022/03,0.0712401055408971
2022/04,0.0928196147110331
2022/05,0.1296779808529156
2022/06,0.1511226252158894
2022/07,0.2383820998278829
2022/08,0.2652360515021459
2022/09,0.2876712328767123
2022/10,0.2863247863247864
2022/11,0.3392857142857144
2022/12,0.347457627118644
2023/01,0.3598326359832635
2023/02,0.3543046357615893
2023/03,0.348111658456486
2023/04,0.3173076923076923
2023/05,0.2557781201848996
2023/06,0.2040510127531882
