Year/Month,Price
2021/01,1.008891
2021/02,1.0118825
2021/03,1.0200185
2021/04,1.0266595
2021/05,1.0294325
2021/06,1.1193689999999998
2021/07,1.0279125
2021/08,1.022601
2021/09,1.0307905
2021/10,1.037699
2021/11,1.038015
2021/12,1.052926
2022/01,1.058385
2022/02,0.4368
2022/03,0.4623
2022/04,0.4678
2022/05,0.5067
2022/06,0.5565
2022/07,0.5778
2022/08,0.5888
2022/09,0.589
2022/10,0.5996
2022/11,0.6143
2022/12,0.6145
2023/01,0.6036
2023/02,0.5736
2023/03,0.5332
2023/04,0.4724
2023/05,0.4376
2023/06,0.4175
