Year/Month,ES
2021/01,0.0045684775052141
2021/02,0.002882703777336
2021/03,9.894132779275644e-05
2021/04,-0.0042310341434614
2021/05,-0.0066777963272119
2021/06,-0.0006906077348065
2021/07,-0.0010844917677217
2021/08,0.0013821700069107
2021/09,0.0087189140988803
2021/10,0.0133597229094508
2021/11,0.0206521739130434
2021/12,0.0362663495838286
2022/01,0.0463667820069204
2022/02,0.0600654177817425
2022/03,0.0748911753066878
2022/04,0.109683794466403
2022/05,0.1381117152743449
2022/06,0.1550992200612102
2022/07,0.1730161863403079
2022/08,0.191659272404614
2022/09,0.2010607995285336
2022/10,0.21875
2022/11,0.2479426856423661
2022/12,0.2783515012430675
2023/01,0.2654950869236583
2023/02,0.2533894343151006
2023/03,0.2378278877128394
2023/04,0.2015138023152272
2023/05,0.1687804030576789
2023/06,0.1494871794871795
