Year/Month,FR
2021/01,0.002907540220973
2021/02,0.0039740234564311
2021/03,0.0052269867389409
2021/04,-0.00848588863463
2021/05,-0.0021088957055214
2021/06,-0.0011542901115813
2021/07,0.0031834844684546
2021/08,0.0056949806949806
2021/09,0.006091665055115
2021/10,0.0088067357011516
2021/11,0.0135462022254475
2021/12,0.0174980665119877
2022/01,0.0244491689215307
2022/02,0.0271287893415717
2022/03,0.0331246990852192
2022/04,0.0402923358015194
2022/05,0.0546589817483189
2022/06,0.0663520801232666
2022/07,0.0760650062506012
2022/08,0.0910835972742105
2022/09,0.0992791926958192
2022/10,0.1122409823484267
2022/11,0.1179952267303101
2022/12,0.12104513064133
2023/01,0.1335723044995755
2023/02,0.1435285271172102
2023/03,0.1543480287072418
2023/04,0.1581623220558328
2023/05,0.1474633391019217
2023/06,0.1405219904271653
