Year/Month,IT
2021/01,0.0094966761633428
2021/02,0.005687203791469
2021/03,0.0
2021/04,-0.0009380863039398
2021/05,0.0009380863039401
2021/06,0.0047036688617121
2021/07,0.0075471698113207
2021/08,0.0113100848256362
2021/09,0.0122641509433962
2021/10,0.0170293282876063
2021/11,0.0160377358490566
2021/12,0.0217391304347824
2022/01,0.0263405456255878
2022/02,0.0386427898209238
2022/03,0.0470366886171214
2022/04,0.0619718309859154
2022/05,0.0721649484536082
2022/06,0.0814606741573034
2022/07,0.0861423220973782
2022/08,0.0885368126747436
2022/09,0.0950605778191986
2022/10,0.104186046511628
2022/11,0.1086350974930361
2022/12,0.1119333950046255
2023/01,0.1081576535288726
2023/02,0.0989110707803992
2023/03,0.091644204851752
2023/04,0.0769230769230768
2023/05,0.0725524475524475
2023/06,0.0632034632034632
