Year/Month,PL
2021/01,0.0213903743315506
2021/02,0.0213523131672597
2021/03,0.0194862710363152
2021/04,0.0248007085916739
2021/05,0.0211267605633802
2021/06,0.0210526315789474
2021/07,0.0272887323943662
2021/08,0.0299032541776604
2021/09,0.0360915492957747
2021/10,0.0492957746478874
2021/11,0.0640913081650571
2021/12,0.0831873905429072
2022/01,0.1116928446771379
2022/02,0.0879790940766551
2022/03,0.0903562119895744
2022/04,0.1158167675021606
2022/05,0.1439655172413791
2022/06,0.172680412371134
2022/07,0.1970865467009424
2022/08,0.2203245089666952
2022/09,0.233644859813084
2022/10,0.2701342281879195
2022/11,0.2830033003300329
2022/12,0.2756669361358126
2023/01,0.2558869701726844
2023/02,0.2922337870296236
2023/03,0.2956175298804779
2023/04,0.2625871417505809
2023/05,0.2275810097965336
2023/06,0.1919413919413919
