Year/Month,PT
2021/01,0.0117086723556261
2021/02,0.0041501976284585
2021/03,0.0024630541871921
2021/04,-0.0146374563784411
2021/05,-0.0041963501512637
2021/06,-0.0087429570623663
2021/07,-0.0049610894941632
2021/08,0.0040086038326163
2021/09,0.0068924773532887
2021/10,0.0105944673337257
2021/11,0.0044061490257514
2021/12,0.0227718884962702
2022/01,0.0424676343664183
2022/02,0.0624876992717968
2022/03,0.0844226044226044
2022/04,0.1143138219380224
2022/05,0.1314190513524107
2022/06,0.1516072128577028
2022/07,0.1609150454589891
2022/08,0.1639887038660046
2022/09,0.1728926266379815
2022/10,0.1799650553290623
2022/11,0.2062780269058295
2022/12,0.2085412667946258
2023/01,0.2065104901684071
2023/02,0.2078355098638511
2023/03,0.1877832155156789
2023/04,0.1567052176216121
2023/05,0.0987440450411432
2023/06,0.0822057697217257
