Year/Month,RO
2021/01,-0.0443603330809992
2021/02,-0.0434200743494423
2021/03,-0.080608793686584
2021/04,-0.1207787848271231
2021/05,-0.052598838816699
2021/06,-0.0138208409506397
2021/07,-0.0406616126809097
2021/08,-0.0451638373470193
2021/09,0.0634644101543056
2021/10,0.08868778280543
2021/11,0.0986809563066777
2021/12,0.1005183865219505
2022/01,0.1043250950570342
2022/02,0.1489196331416136
2022/03,0.1891477621091355
2022/04,0.2216707391569945
2022/05,0.1998249069818343
2022/06,0.1483019427554501
2022/07,0.2140804597701149
2022/08,0.2771024559662614
2022/09,0.2192058662922225
2022/10,0.2468827930174562
2022/11,0.2317100622795826
2022/12,0.2218296901449914
2023/01,0.2271716519618392
2023/02,0.2319713164659722
2023/03,0.2806135601959267
2023/04,0.2500781298831176
2023/05,0.2586039158457984
2023/06,0.2858065349347798
